timestamp,response,pods,watt,request_count,error,model
1749693137.7867796,0.011312246322631836,1,20.0,341,0,
1749693139.0809648,0.011594057083129883,1,20.0,341,0,
1749693140.4049227,0.011017322540283203,1,20.0,341,0,
1749693141.7278824,0.011235237121582031,1,20.0,341,0,
1749693143.1713037,0.01389169692993164,1,20.0,341,0,
1749693144.5626829,0.014632701873779297,1,20.0,341,0,
1749693145.9193764,0.010952234268188477,1,20.0,341,0,
1749693147.2902265,0.012434244155883789,1,20.0,341,0,
1749693148.648916,0.011667013168334961,1,23.0,341,0,
1749693149.9973032,0.010808706283569336,1,23.0,341,0,
1749693151.406017,0.025904417037963867,1,23.0,341,0,
1749693153.4427123,0.01130366325378418,1,23.0,341,0,
1749693154.7955801,0.013526678085327148,1,23.0,341,0,
1749693156.1857142,0.010787248611450195,1,23.0,341,0,
1749693157.5683703,0.01100301742553711,1,23.0,341,0,
1749693158.9982975,0.011898517608642578,1,23.0,341,0,
1749693160.3692944,0.014182090759277344,1,23.0,341,0,
1749693161.7072518,0.012082576751708984,1,23.0,341,0,
1749693163.0675318,0.011581182479858398,1,23.0,341,0,
1749693164.4136908,0.013000726699829102,1,31.0,341,0,
1749693165.8105738,0.013102054595947266,1,31.0,341,0,
1749693167.1718504,0.01144099235534668,1,31.0,341,0,
1749693168.5242782,0.010933160781860352,1,31.0,341,0,
1749693169.9116821,0.011073827743530273,1,31.0,341,0,
1749693171.2767544,0.011286735534667969,1,31.0,341,0,
1749693172.6409433,0.014563322067260742,1,31.0,341,0,
1749693174.0025322,0.015398502349853516,1,31.0,341,0,
1749693175.4250417,0.013074159622192383,1,31.0,341,0,
1749693176.7845201,0.011387109756469727,1,31.0,341,0,
1749693178.1523485,0.016126155853271484,1,29.0,341,0,
1749693179.5115788,0.011056900024414062,1,29.0,341,0,
1749693180.8714952,0.010982990264892578,1,29.0,341,0,
1749693182.1991687,0.011346817016601562,1,29.0,341,0,
1749693183.5890818,0.010744810104370117,1,29.0,341,0,
1749693184.9976,0.012806415557861328,1,29.0,341,0,
1749693186.3871655,0.01141357421875,1,29.0,341,0,
1749693187.8005679,0.013146162033081055,1,29.0,340,0,
1749693189.1769347,0.01446390151977539,1,29.0,340,0,
1749693190.508386,0.012929916381835938,1,29.0,340,0,
1749693191.825746,0.01692032814025879,1,29.0,340,0,
1749693193.163896,0.01146697998046875,1,30.0,340,0,
1749693194.5183127,0.014462471008300781,1,30.0,340,0,
1749693195.9006026,0.01218557357788086,1,30.0,340,0,
1749693197.2950926,0.011000394821166992,1,30.0,340,0,
1749693198.67553,0.015110254287719727,1,30.0,340,0,
1749693200.0343785,0.011466741561889648,1,30.0,340,0,
1749693201.3839984,0.019784927368164062,1,30.0,340,0,
1749693202.8039727,0.017710208892822266,1,30.0,340,0,
1749693204.175387,0.014348506927490234,1,30.0,340,0,
1749693205.560137,0.011457681655883789,1,30.0,340,0,
1749693206.931627,0.011384248733520508,1,30.0,340,0,
1749693208.3179374,0.011957168579101562,1,29.0,340,0,
1749693209.6990702,0.012871742248535156,1,29.0,340,0,
1749693211.0772645,0.014799118041992188,1,29.0,340,0,
1749693212.504862,0.011362791061401367,1,29.0,340,0,
1749693213.9080844,0.011445999145507812,1,29.0,340,0,
1749693215.2494767,0.018486738204956055,1,29.0,340,0,
1749693216.6179812,0.0117645263671875,1,29.0,340,0,
1749693217.9907281,0.013755083084106445,1,29.0,340,0,
1749693219.3579304,0.011109352111816406,1,29.0,340,0,
1749693220.7377274,0.011295795440673828,1,29.0,340,0,
1749693222.0985453,0.010912656784057617,1,29.0,340,0,
1749693223.488541,0.012206077575683594,1,29.0,340,0,
1749693224.8575487,0.010878801345825195,1,29.0,340,0,
1749693226.2362406,0.010367155075073242,1,29.0,340,0,
1749693227.6002975,0.012543439865112305,1,29.0,340,0,
1749693228.9726226,0.010782003402709961,1,29.0,340,0,
1749693230.3383899,0.011878490447998047,1,29.0,340,0,
1749693231.6964052,0.010777473449707031,1,29.0,340,0,
1749693233.0470188,0.012268781661987305,1,29.0,340,0,
1749693234.4305408,0.01238107681274414,1,29.0,340,0,
1749693235.864071,0.014580726623535156,1,29.0,340,0,
1749693237.2737339,0.011682987213134766,1,29.0,340,0,
1749693238.6412647,0.014524459838867188,1,29.0,340,0,
1749693240.0269403,0.01302790641784668,1,29.0,340,0,
1749693241.4128633,0.011722326278686523,1,29.0,340,0,
1749693242.7902253,0.01153111457824707,1,29.0,340,0,
1749693244.1616836,0.014393806457519531,1,29.0,340,0,
1749693245.5229068,0.011804819107055664,1,29.0,340,0,
1749693246.9050012,0.011124849319458008,1,29.0,340,0,
1749693248.2546265,0.01214742660522461,1,29.0,339,0,
1749693249.6099055,0.011283397674560547,1,29.0,339,0,
1749693250.9577312,0.014795541763305664,1,29.0,339,0,
1749693252.3288789,0.011460542678833008,1,29.0,339,0,
1749693253.7013335,0.011727333068847656,1,29.0,339,0,
1749693255.070442,0.011937141418457031,1,29.0,339,0,
1749693256.424953,0.011385440826416016,1,29.0,339,0,
1749693257.7843788,0.019180774688720703,1,29.0,339,0,
1749693259.169474,0.011681079864501953,1,29.0,339,0,
1749693260.552578,0.011267900466918945,1,29.0,339,0,
